0,57426
0,15842
0,34653
0,23762
0,40594
0,78218
0,56436
0,90099
0,65347
0,21782
0,89109
0,39604
0,52475
0,87129
0,88119
0,13861
0,83168
0,85149
0,36634
0,75248
0,79208
0,82178
0,59406
0,67327
0,73267
0,27723
0,43564
0,55446
0,64356
0,96040
0,19802
0,37624
0,00990
0,48515
0,84158
0,10891
0,05941
0,77228
0,30693
0,20792
0,63366
0,70297
0,50495
0,35644
0,49505
0,09901
0,80198
0,07921
0,28713
0,69307
0,24752
0,66337
0,47525
0,58416
0,41584
0,03960
0,25743
0,92079
0,16832
0,60396
0,93069
0,42574
0,29703
0,95050
0,94059
0,68317
0,99010
0,97030
0,45545
0,06931
0,02970
0,00000
0,22772
0,14851
0,08911
0,54455
0,38614
0,26733
0,17822
0,86139
0,62376
0,44554
0,81188
0,33663
0,98020
0,71287
0,76238
0,04950
0,51485
0,61386
0,18812
0,11881
0,31683
0,46535
0,32673
0,72277
0,01980
0,74257
0,53465
0,12871
